State,Year,Quater,Districts,Transaction_count,Transaction_amount
Gujarat,2020,1,gandhinagar district,2337267,3378567424.980505
Gujarat,2020,1,panch mahals district,448015,704353748.9369581
Gujarat,2020,1,narmada district,125838,192670611.26835415
Gujarat,2020,1,gir somnath district,270678,492504287.9957706
Gujarat,2020,1,valsad district,1342508,2197272850.2289653
Gujarat,2020,1,mahisagar district,154457,257181105.77228773
Gujarat,2020,1,sabar kantha district,641078,998959107.0451574
Gujarat,2020,1,tapi district,204716,303751079.8885932
Gujarat,2020,1,vadodara district,3398524,5791008308.342354
Gujarat,2020,1,banas kantha district,1429235,2718891067.533261
Gujarat,2020,1,amreli district,327785,539247006.6461108
Gujarat,2020,1,ahmadabad district,17950876,35559467147.63747
Gujarat,2020,1,dohad district,238828,449704484.81976056
Gujarat,2020,1,navsari district,434441,632587167.9854003
Gujarat,2020,1,patan district,594745,871002993.2617927
Gujarat,2020,1,kachchh district,1305996,2617080218.9794
Gujarat,2020,1,surendranagar district,421057,680689639.4884843
Gujarat,2020,1,morbi district,358952,669117520.7466867
Gujarat,2020,2,anand district,903716,1293524620.6371698
Gujarat,2020,2,jamnagar district,598458,945318108.7687567
Gujarat,2020,2,devbhumi dwarka district,214944,320029310.6632272
Gujarat,2020,2,rajkot district,1360781,2344811087.112481
Gujarat,2020,2,aravallis district,482363,680449750.2216419
Gujarat,2020,2,chhotaudepur district,174739,212139861.26010585
Gujarat,2020,2,botad district,378175,471813971.54553103
Gujarat,2020,2,bharuch district,1673375,2438983130.5949507
Gujarat,2020,2,bhavnagar district,1215195,1886223855.2019415
Gujarat,2020,2,junagadh district,407623,572516201.7822087
Gujarat,2020,2,mahesana district,1592579,2300168470.716814
Gujarat,2020,2,the dangs district,62526,62273325.90559709
Gujarat,2020,2,kheda district,784245,1018713290.4668504
Gujarat,2020,2,surat district,5654552,9378177062.809792
Gujarat,2020,2,porbandar district,134329,226224267.28940976
Gujarat,2020,2,gandhinagar district,2039285,2913004123.5804567
Gujarat,2020,2,panch mahals district,530453,752539616.4419664
Gujarat,2020,2,narmada district,181581,226204689.1999839
Gujarat,2020,2,gir somnath district,439795,683771357.3293531
Gujarat,2020,2,valsad district,1498222,2040840946.3210487
Gujarat,2020,2,mahisagar district,257444,374445950.708864
Gujarat,2020,2,sabar kantha district,816984,1232845328.7457933
Gujarat,2020,2,tapi district,294426,365909712.10364485
Gujarat,2020,2,vadodara district,2796615,4621695376.570124
Gujarat,2020,2,banas kantha district,1860625,3107051803.537753
Gujarat,2020,2,amreli district,554744,809297901.4588158
Gujarat,2020,2,ahmadabad district,16430916,32731896547.150333
Gujarat,2020,2,dohad district,380381,634462423.0372827
Gujarat,2020,2,navsari district,547410,658697480.6239362
Gujarat,2020,2,patan district,759561,1054601004.9152005
Gujarat,2020,2,kachchh district,1428844,2663558233.3213134
Gujarat,2020,2,surendranagar district,590754,802465025.0907189
Gujarat,2020,2,morbi district,374545,563192524.3777897
Gujarat,2020,3,anand district,1069251,1753944278.7492592
Gujarat,2020,3,jamnagar district,648790,1254572556.7632065
Gujarat,2020,3,devbhumi dwarka district,211259,383470640.91771644
Gujarat,2020,3,rajkot district,1490309,2995153084.6346493
Gujarat,2020,3,aravallis district,482916,829207912.975971
Gujarat,2020,3,chhotaudepur district,164691,257637246.1237919
Gujarat,2020,3,botad district,340537,531013247.42391574
Gujarat,2020,3,bharuch district,2145954,3492190237.8492537
Gujarat,2020,3,bhavnagar district,1245647,2274620368.6960626
Gujarat,2020,3,junagadh district,424025,798846723.6356487
Gujarat,2020,3,mahesana district,1898909,3469191791.4686623
Gujarat,2020,3,the dangs district,61483,71541218.6802228
Gujarat,2020,3,kheda district,852224,1355999687.4186165
Gujarat,2020,3,surat district,7272097,14667802723.390911
Gujarat,2020,3,porbandar district,140684,291516188.3579706
Gujarat,2020,3,gandhinagar district,2828558,4509986129.973013
Gujarat,2020,3,panch mahals district,625835,1108852900.8189397
Gujarat,2020,3,narmada district,188013,281090742.71599275
Gujarat,2020,3,gir somnath district,456851,926514793.7373261
Gujarat,2020,3,valsad district,1743270,2801506603.4157205
Gujarat,2020,3,mahisagar district,223755,410598224.914323
Gujarat,2020,3,sabar kantha district,978647,1639580053.3462
Gujarat,2020,3,tapi district,386709,640774933.3223717
Gujarat,2020,3,vadodara district,4247473,7377577452.229219
Gujarat,2020,3,banas kantha district,2102221,4347810483.865207
Gujarat,2020,3,amreli district,505391,878846985.3990886
Gujarat,2020,3,ahmadabad district,21769867,43364229618.72334
Gujarat,2020,3,dohad district,387675,774665435.029488
Gujarat,2020,3,navsari district,669646,1042130557.8815172
Gujarat,2020,3,patan district,833224,1469939692.0924706
Gujarat,2020,3,kachchh district,1762816,3715321888.0775957
Gujarat,2020,3,surendranagar district,612549,1053748004.4105902
Gujarat,2020,3,morbi district,518903,1151870077.6734865
Gujarat,2020,4,anand district,1486151,2488003643.70551
Gujarat,2020,4,jamnagar district,852972,1746204267.5136547
Gujarat,2020,4,devbhumi dwarka district,272466,564767075.0324345
Gujarat,2020,4,rajkot district,1980653,4184580562.7370863
Gujarat,2020,4,aravallis district,650966,1195080848.8393457
Gujarat,2020,4,chhotaudepur district,231699,385900402.57755136
Gujarat,2020,4,botad district,358762,637855285.7494726
Gujarat,2020,4,bharuch district,3243841,5265465828.675046
Gujarat,2020,4,bhavnagar district,1454824,2860946801.5974355
Gujarat,2020,4,junagadh district,528638,1081544206.1069198
Gujarat,2020,4,mahesana district,2473227,4748375062.213286
Gujarat,2020,4,the dangs district,89994,115392051.59941344
Gujarat,2020,4,kheda district,1146567,1924149444.9194136
Gujarat,2020,4,surat district,10950779,22483338828.296677
Gujarat,2020,4,porbandar district,185255,409734586.01614106
Gujarat,2020,4,gandhinagar district,3802536,6260558379.008726
Gujarat,2020,4,panch mahals district,861616,1522649649.0425
Gujarat,2020,4,narmada district,274158,401617563.13397676
Gujarat,2020,4,gir somnath district,537782,1181991458.5126772
Gujarat,2020,4,valsad district,2565319,4183435576.3542786
Gujarat,2020,4,mahisagar district,302767,570736679.6244228
Gujarat,2020,4,sabar kantha district,1339032,2451572619.1990595
Gujarat,2020,4,tapi district,520631,841884252.7849832
Gujarat,2020,4,vadodara district,6066452,10175864216.096031
Gujarat,2020,4,banas kantha district,2687464,5676878891.729177
Gujarat,2020,4,amreli district,564757,1075380722.1837554
Gujarat,2020,4,ahmadabad district,25926518,50995692377.18629
Gujarat,2020,4,dohad district,522944,1028322590.3102307
Gujarat,2020,4,navsari district,906395,1460927906.600296
Gujarat,2020,4,patan district,1121201,2091010409.7872968
Gujarat,2020,4,kachchh district,2405892,5163742799.021423
Gujarat,2020,4,surendranagar district,802707,1519077043.8578877
Gujarat,2020,4,morbi district,713582,1700378082.426631
Gujarat,2021,1,anand district,1585982,2723181548.9945545
Gujarat,2021,1,jamnagar district,899501,1894971999.4394412
Gujarat,2021,1,devbhumi dwarka district,263772,630081190.7413921
Gujarat,2021,1,rajkot district,2278417,5057583315.413301
Gujarat,2021,1,aravallis district,655695,1314732516.1866503
Gujarat,2021,1,chhotaudepur district,225606,452389275.3974223
Gujarat,2021,1,botad district,367267,798953588.0229607
Gujarat,2021,1,bharuch district,3420929,5756013890.9055805
Gujarat,2021,1,bhavnagar district,1446583,3264511506.595693
Gujarat,2021,1,junagadh district,543809,1204237180.1488335
Gujarat,2021,1,mahesana district,2587041,5454846785.509393
Gujarat,2021,1,the dangs district,83737,130412216.08515008
Gujarat,2021,1,kheda district,1165033,2180336937.401629
Gujarat,2021,1,surat district,13429789,28261722802.552788
Gujarat,2021,1,porbandar district,184436,466162975.4066367
Gujarat,2021,1,gandhinagar district,4275528,7290530767.260056
Gujarat,2021,1,panch mahals district,976434,1849730326.470284
Gujarat,2021,1,narmada district,268489,479844444.1932763
Gujarat,2021,1,gir somnath district,575287,1368653768.466436
Gujarat,2021,1,valsad district,2745663,4775335083.735588
Gujarat,2021,1,mahisagar district,280340,582703615.8071253
Gujarat,2021,1,sabar kantha district,1357102,2620770589.4913707
Gujarat,2021,1,tapi district,612570,1114541037.7686372
Gujarat,2021,1,vadodara district,7191021,11925964623.063154
Gujarat,2021,1,banas kantha district,2927080,6883945517.865922
Gujarat,2021,1,amreli district,513706,1123115019.4190373
Gujarat,2021,1,ahmadabad district,36857358,68688129153.575096
Gujarat,2021,1,dohad district,548628,1226581747.5402272
Gujarat,2021,1,navsari district,1022239,1773256368.3156428
Gujarat,2021,1,patan district,1165681,2425828408.868511
Gujarat,2021,1,kachchh district,2664604,6036765372.934219
Gujarat,2021,1,surendranagar district,806962,1725777306.55805
Gujarat,2021,1,morbi district,848276,2219169833.3171697
Gujarat,2021,2,anand district,1711394,3014631897.6682367
Gujarat,2021,2,jamnagar district,1155054,2206347098.925128
Gujarat,2021,2,devbhumi dwarka district,333279,738788439.0915308
Gujarat,2021,2,rajkot district,2675842,5707346831.237131
Gujarat,2021,2,aravallis district,847681,1683647671.7291918
Gujarat,2021,2,chhotaudepur district,275873,540185404.7441366
Gujarat,2021,2,botad district,550313,1280565807.277298
Gujarat,2021,2,bharuch district,3937665,6464930552.559841
Gujarat,2021,2,bhavnagar district,1660432,3448497365.237627
Gujarat,2021,2,junagadh district,700286,1487953525.5343559
Gujarat,2021,2,mahesana district,3118685,6292779692.204142
Gujarat,2021,2,the dangs district,105158,157878766.4304675
Gujarat,2021,2,kheda district,1362561,2503386769.0668764
Gujarat,2021,2,surat district,15230233,30756115155.739143
Gujarat,2021,2,porbandar district,227413,558446703.6568799
Gujarat,2021,2,gandhinagar district,4552010,7835004938.194845
Gujarat,2021,2,panch mahals district,1214442,2245183337.229858
Gujarat,2021,2,narmada district,332174,534890391.66917926
Gujarat,2021,2,gir somnath district,746122,1686621125.0672534
Gujarat,2021,2,valsad district,3236626,5434041159.757242
Gujarat,2021,2,mahisagar district,364905,744153750.2746319
Gujarat,2021,2,sabar kantha district,1659480,3248644724.13906
Gujarat,2021,2,tapi district,814911,1327829881.8383355
Gujarat,2021,2,vadodara district,7847805,12902554421.650602
Gujarat,2021,2,banas kantha district,3648428,8286069195.93278
Gujarat,2021,2,amreli district,659562,1524494293.670391
Gujarat,2021,2,ahmadabad district,44173046,79437951666.15146
Gujarat,2021,2,dohad district,693945,1556292873.7368991
Gujarat,2021,2,navsari district,1296111,2197674429.667848
Gujarat,2021,2,patan district,1384484,2811156126.4368644
Gujarat,2021,2,kachchh district,3268191,7040086478.344803
Gujarat,2021,2,surendranagar district,1029627,2066433661.8066688
Gujarat,2021,2,morbi district,1027658,2441470415.445466
Gujarat,2021,3,anand district,2268123,3900508554.1397376
Gujarat,2021,3,jamnagar district,1546406,2841962054.6034217
Gujarat,2021,3,devbhumi dwarka district,418822,960353473.0403948
Gujarat,2021,3,rajkot district,3586356,7726777654.637352
Gujarat,2021,3,aravallis district,1072139,2034322149.7296264
Gujarat,2021,3,chhotaudepur district,319271,611013838.0899625
Gujarat,2021,3,botad district,775124,1847036989.381681
Gujarat,2021,3,bharuch district,5280607,8322570348.519125
Gujarat,2021,3,bhavnagar district,2001668,4470254984.23804
Gujarat,2021,3,junagadh district,833587,1786079501.4768844
Gujarat,2021,3,mahesana district,4085272,8371811502.22802
Gujarat,2021,3,the dangs district,142421,220242754.8697721
Gujarat,2021,3,kheda district,1748901,3172710752.9721527
Gujarat,2021,3,surat district,21214459,40838608900.13971
Gujarat,2021,3,porbandar district,275154,690810567.5533752
Gujarat,2021,3,gandhinagar district,6318239,10546315790.961113
Gujarat,2021,3,panch mahals district,1549556,2762752529.1230626
Gujarat,2021,3,narmada district,446278,730606768.6161022
Gujarat,2021,3,gir somnath district,912616,2047248878.9171567
Gujarat,2021,3,valsad district,4434194,7173200940.388832
Gujarat,2021,3,mahisagar district,442046,893324969.8932046
Gujarat,2021,3,sabar kantha district,2129127,3945628260.6717844
Gujarat,2021,3,tapi district,1010949,1621047025.5570326
Gujarat,2021,3,vadodara district,10555446,16336422910.897554
Gujarat,2021,3,banas kantha district,4877149,11302732744.859072
Gujarat,2021,3,amreli district,880856,2030095872.7498639
Gujarat,2021,3,ahmadabad district,58611265,101760598132.07088
Gujarat,2021,3,dohad district,924227,1953033067.4008594
Gujarat,2021,3,navsari district,1703437,2845342547.406067
Gujarat,2021,3,patan district,1805160,3735782880.347761
Gujarat,2021,3,kachchh district,4378602,9001941152.864368
Gujarat,2021,3,surendranagar district,1292951,2671069363.2201557
Gujarat,2021,3,morbi district,1407999,3472418252.020602
Gujarat,2021,4,anand district,2754485,4901381738.859557
Gujarat,2021,4,jamnagar district,1892202,3573928284.546256
Gujarat,2021,4,devbhumi dwarka district,508824,1236361450.5936007
Gujarat,2021,4,rajkot district,4398724,9808446763.924477
Gujarat,2021,4,aravallis district,1389157,2813603551.6262503
Gujarat,2021,4,chhotaudepur district,399985,776880205.8316607
Gujarat,2021,4,botad district,981895,2347736165.7165422
Gujarat,2021,4,bharuch district,6671068,10647007113.465914
Gujarat,2021,4,bhavnagar district,2503192,5912161062.19894
Gujarat,2021,4,junagadh district,1067289,2439626368.4466143
Gujarat,2021,4,mahesana district,5022604,10719744656.891113
Gujarat,2021,4,the dangs district,175673,266936831.3250107
Gujarat,2021,4,kheda district,2115182,3982871287.806916
Gujarat,2021,4,surat district,26358525,51244301661.33562
Gujarat,2021,4,porbandar district,334768,922030259.8507378
Gujarat,2021,4,gandhinagar district,7658806,13063535935.917791
Gujarat,2021,4,panch mahals district,1950412,3527540820.947919
Gujarat,2021,4,narmada district,547754,905726392.7486008
Gujarat,2021,4,gir somnath district,1171670,2747773641.937811
Gujarat,2021,4,valsad district,5798487,9554286592.777279
Gujarat,2021,4,mahisagar district,559971,1204459443.933492
Gujarat,2021,4,sabar kantha district,2653416,5247467974.524677
Gujarat,2021,4,tapi district,1283905,2146758330.3483467
Gujarat,2021,4,vadodara district,12675332,20051547592.844345
Gujarat,2021,4,banas kantha district,6396725,14662295530.137415
Gujarat,2021,4,amreli district,1108699,2596504411.041504
Gujarat,2021,4,ahmadabad district,70075885,124559345468.31937
Gujarat,2021,4,dohad district,1212646,2565405628.4936953
Gujarat,2021,4,navsari district,2220944,3782948232.168639
Gujarat,2021,4,patan district,2293931,4836124445.336521
Gujarat,2021,4,kachchh district,5470337,11281039516.16741
Gujarat,2021,4,surendranagar district,1571774,3524100667.2871084
Gujarat,2021,4,morbi district,1763058,4532702026.275787
Gujarat,2022,1,anand district,3048076,5515844713.90881
Gujarat,2022,1,jamnagar district,2155185,3995387220.064081
Gujarat,2022,1,devbhumi dwarka district,577554,1393188002.3646598
Gujarat,2022,1,rajkot district,5044420,11183107357.249798
Gujarat,2022,1,aravallis district,1603295,3245867369.8418803
Gujarat,2022,1,chhotaudepur district,469160,961037555.5333877
Gujarat,2022,1,botad district,1089654,2529006396.9082165
Gujarat,2022,1,bharuch district,7704075,12142511077.777298
Gujarat,2022,1,bhavnagar district,2733486,6507151536.779606
Gujarat,2022,1,junagadh district,1159000,2632740612.928868
Gujarat,2022,1,mahesana district,5772191,12148997855.252472
Gujarat,2022,1,the dangs district,199292,319930741.7016173
Gujarat,2022,1,kheda district,2392631,4653031406.32455
Gujarat,2022,1,surat district,31199368,60384509134.17688
Gujarat,2022,1,porbandar district,368108,1041885112.1535248
Gujarat,2022,1,gandhinagar district,8605006,14673670632.364445
Gujarat,2022,1,panch mahals district,2317566,4354464949.808912
Gujarat,2022,1,narmada district,590661,1028206703.2216127
Gujarat,2022,1,gir somnath district,1311753,3149910594.0697384
Gujarat,2022,1,valsad district,6673719,11065186874.369562
Gujarat,2022,1,mahisagar district,634329,1400068532.0580125
Gujarat,2022,1,sabar kantha district,3018096,5899494954.572109
Gujarat,2022,1,tapi district,1479525,2625677244.2605915
Gujarat,2022,1,vadodara district,14343830,22232541228.698692
Gujarat,2022,1,banas kantha district,7973644,18279879154.011223
Gujarat,2022,1,amreli district,1139593,2619535836.606331
Gujarat,2022,1,ahmadabad district,79952986,140746136456.2987
Gujarat,2022,1,dohad district,1492215,3303671729.6961093
Gujarat,2022,1,navsari district,2558811,4448236738.077925
Gujarat,2022,1,patan district,2676329,5505990582.930806
Gujarat,2022,1,kachchh district,6493295,13234467234.409916
Gujarat,2022,1,surendranagar district,1770045,4155739566.6631675
Gujarat,2022,1,morbi district,2000248,5171017148.465556
Gujarat,2022,2,anand district,3366969,5980713686.880918
Gujarat,2022,2,jamnagar district,2577307,4428726322.515411
Gujarat,2022,2,devbhumi dwarka district,699907,1553973410.0873568
Gujarat,2022,2,rajkot district,6063252,12629937169.82262
Gujarat,2022,2,aravallis district,1985375,3936343254.1726723
Gujarat,2022,2,chhotaudepur district,554481,1118837886.278185
Gujarat,2022,2,botad district,1319494,2481012650.813588
Gujarat,2022,2,bharuch district,8898927,13524403306.877403
Gujarat,2022,2,bhavnagar district,3280598,7203081678.4895935
Gujarat,2022,2,junagadh district,1303634,2870016919.846751
Gujarat,2022,2,mahesana district,6831581,13686497405.843655
Gujarat,2022,2,the dangs district,242942,386904516.30286825
Gujarat,2022,2,kheda district,2804743,5136552729.090972
Gujarat,2022,2,surat district,37371820,68525386888.44026
Gujarat,2022,2,porbandar district,451806,1247309372.061276
Gujarat,2022,2,gandhinagar district,10158506,16650584409.353096
Gujarat,2022,2,panch mahals district,2768107,4913162124.983287
Gujarat,2022,2,narmada district,728214,1199594621.9613156
Gujarat,2022,2,gir somnath district,1593762,3597900918.795203
Gujarat,2022,2,valsad district,8033358,12554813235.04937
Gujarat,2022,2,mahisagar district,787617,1679677472.3282216
Gujarat,2022,2,sabar kantha district,3593785,6977672565.899878
Gujarat,2022,2,tapi district,1783511,3029292345.32784
Gujarat,2022,2,vadodara district,16566055,24927078678.274376
Gujarat,2022,2,banas kantha district,9732655,20605533611.378273
Gujarat,2022,2,amreli district,1320163,2813019600.3597517
Gujarat,2022,2,ahmadabad district,96453555,161506106645.9494
Gujarat,2022,2,dohad district,1809814,3896428797.800151
Gujarat,2022,2,navsari district,3327016,5310124254.046915
Gujarat,2022,2,patan district,3116746,6276857246.360606
Gujarat,2022,2,kachchh district,7934471,15334005512.230762
Gujarat,2022,2,surendranagar district,2087742,4713415151.499961
Gujarat,2022,2,morbi district,2504883,6103036587.724854
Gujarat,2022,3,anand district,3910410,6469350595.472251
Gujarat,2022,3,jamnagar district,3714625,5733544044.074508
Gujarat,2022,3,devbhumi dwarka district,918151,1779143512.572445
Gujarat,2022,3,rajkot district,8053297,15206611341.200827
Gujarat,2022,3,aravallis district,2236769,3920741952.595134
Gujarat,2022,3,chhotaudepur district,545300,995504884.7700689
Gujarat,2022,3,botad district,1433437,2591773863.872061
Gujarat,2022,3,bharuch district,11270803,15949022077.719542
Gujarat,2022,3,bhavnagar district,4568839,9041452290.515198
Gujarat,2022,3,junagadh district,1537367,3043926124.6742277
Gujarat,2022,3,mahesana district,6403784,12429803356.66823
Gujarat,2022,3,the dangs district,254111,381893547.7480219
Gujarat,2022,3,kheda district,3591066,5933588857.8341465
Gujarat,2022,3,surat district,46500453,78304481289.11215
Gujarat,2022,3,porbandar district,578802,1357830610.5275652
Gujarat,2022,3,gandhinagar district,10879868,17098915693.48831
Gujarat,2022,3,panch mahals district,2823294,4508411917.771397
Gujarat,2022,3,narmada district,723343,1114771648.905864
Gujarat,2022,3,gir somnath district,1406104,3027458849.11908
Gujarat,2022,3,valsad district,9633288,13905599408.86188
Gujarat,2022,3,mahisagar district,1122900,1986607331.6766155
Gujarat,2022,3,sabar kantha district,3760015,6565494234.606799
Gujarat,2022,3,tapi district,1473584,2258710020.370042
Gujarat,2022,3,vadodara district,23318716,32733106034.525204
Gujarat,2022,3,banas kantha district,11035119,22401495021.82648
Gujarat,2022,3,amreli district,1325138,2656525026.780618
Gujarat,2022,3,ahmadabad district,117574996,184255244712.72232
Gujarat,2022,3,dohad district,2182542,3862273582.1736565
Gujarat,2022,3,navsari district,2421727,3829182729.863163
Gujarat,2022,3,patan district,3407916,6332131544.324939
Gujarat,2022,3,kachchh district,9375781,16533683640.305622
Gujarat,2022,3,surendranagar district,2522750,5153708091.863037
Gujarat,2022,3,morbi district,2735437,6075514370.909432
Gujarat,2022,4,anand district,4351503,7433779371.016341
Gujarat,2022,4,jamnagar district,4945374,7625464587.433752
Gujarat,2022,4,devbhumi dwarka district,910863,1848097499.2814002
Gujarat,2022,4,rajkot district,9260831,17834314868.93695
Gujarat,2022,4,aravallis district,2532438,4651225998.251141
Gujarat,2022,4,chhotaudepur district,640222,1199597589.6415567
Gujarat,2022,4,botad district,1634212,3051272765.4072547
Gujarat,2022,4,bharuch district,15879527,22486941029.828552
Gujarat,2022,4,bhavnagar district,5089277,10905403197.73602
Gujarat,2022,4,junagadh district,2532155,4948034874.389366
Gujarat,2022,4,mahesana district,7160396,14173625244.242264
Gujarat,2022,4,the dangs district,317748,463583958.8647848
Gujarat,2022,4,kheda district,3509944,6102744146.658854
Gujarat,2022,4,surat district,52037142,85923991746.92255
Gujarat,2022,4,porbandar district,615650,1513924726.4532723
Gujarat,2022,4,gandhinagar district,12010565,19015449813.738018
Gujarat,2022,4,panch mahals district,3308022,5455257544.003246
Gujarat,2022,4,narmada district,846033,1308463852.7294803
Gujarat,2022,4,gir somnath district,1671989,3731133998.415558
Gujarat,2022,4,valsad district,11103340,15842261457.57137
Gujarat,2022,4,mahisagar district,1619162,2861334019.0561805
Gujarat,2022,4,sabar kantha district,4958012,8965673462.522814
Gujarat,2022,4,tapi district,1635320,2610910573.8709135
Gujarat,2022,4,vadodara district,20968443,30304178848.49663
Gujarat,2022,4,banas kantha district,12352158,25179922289.863693
Gujarat,2022,4,amreli district,1619039,3343832001.6098003
Gujarat,2022,4,ahmadabad district,133174553,212037117715.34885
Gujarat,2022,4,dohad district,2608983,4807410074.584564
Gujarat,2022,4,navsari district,2509503,4046502522.5835347
Gujarat,2022,4,patan district,3819745,7472645579.49339
Gujarat,2022,4,kachchh district,9617702,17113433243.309341
Gujarat,2022,4,surendranagar district,2537495,5716407620.510841
Gujarat,2022,4,morbi district,3378672,7944369113.768206
Gujarat,2023,1,anand district,5397666,9009210736.0
Gujarat,2023,1,jamnagar district,4756337,7167434719.0
Gujarat,2023,1,devbhumi dwarka district,1415994,2752477571.0
Gujarat,2023,1,rajkot district,10331784,19918564828.0
Gujarat,2023,1,aravallis district,4030723,6867703665.0
Gujarat,2023,1,chhotaudepur district,1063601,1949399026.0
Gujarat,2023,1,botad district,2614974,4334114751.0
Gujarat,2023,1,bharuch district,17611455,23420620380.0
Gujarat,2023,1,bhavnagar district,5891467,12426320689.0
Gujarat,2023,1,junagadh district,2103076,4380773447.0
Gujarat,2023,1,mahesana district,11768050,21693083051.0
Gujarat,2023,1,the dangs district,525483,743925303.0
Gujarat,2023,1,kheda district,5309300,8871328725.0
Gujarat,2023,1,surat district,59319420,95572900783.0
Gujarat,2023,1,porbandar district,781192,2010358003.0
Gujarat,2023,1,gandhinagar district,19462874,28898357911.0
Gujarat,2023,1,panch mahals district,4382750,6885930879.0
Gujarat,2023,1,narmada district,1331119,2006640636.0
Gujarat,2023,1,gir somnath district,2525075,5400719200.0
Gujarat,2023,1,valsad district,15422170,21497483690.0
Gujarat,2023,1,mahisagar district,1662680,3003221233.0
Gujarat,2023,1,sabar kantha district,7019623,11873701987.0
Gujarat,2023,1,tapi district,2629964,4183517799.0
Gujarat,2023,1,vadodara district,25446746,33703262986.0
Gujarat,2023,1,banas kantha district,20363171,39328998688.0
Gujarat,2023,1,amreli district,2349744,4616129601.0
Gujarat,2023,1,ahmadabad district,88124113,144675922269.0
Gujarat,2023,1,dohad district,4195072,7548858403.0
Gujarat,2023,1,navsari district,4107219,6361291325.0
Gujarat,2023,1,patan district,6352036,11479571861.0
Gujarat,2023,1,kachchh district,15804575,26116703929.0
Gujarat,2023,1,surendranagar district,3921552,8632632976.0
Gujarat,2023,1,morbi district,4490321,10495027756.0
Gujarat,2023,2,anand district,5851772,9203602342.0
Gujarat,2023,2,jamnagar district,5521568,7701542445.0
Gujarat,2023,2,devbhumi dwarka district,1524055,2754024478.0
Gujarat,2023,2,rajkot district,11886801,21473977466.0
Gujarat,2023,2,aravallis district,4798591,7885461417.0
Gujarat,2023,2,chhotaudepur district,1244113,2137462845.0
Gujarat,2023,2,botad district,2813449,4652143736.0
Gujarat,2023,2,bharuch district,20492081,25552850416.0
Gujarat,2023,2,bhavnagar district,6951883,13318758008.0
Gujarat,2023,2,junagadh district,2403109,4751272420.0
Gujarat,2023,2,mahesana district,13635469,23684515815.0
Gujarat,2023,2,the dangs district,619051,870841121.0
Gujarat,2023,2,kheda district,6085143,9433647106.0
Gujarat,2023,2,surat district,68998170,102075692702.0
Gujarat,2023,2,porbandar district,883224,2116550620.0
Gujarat,2023,2,gandhinagar district,22421756,31572312133.0
Gujarat,2023,2,panch mahals district,5008744,7340222097.0
Gujarat,2023,2,narmada district,1550920,2170877095.0
Gujarat,2023,2,gir somnath district,2968910,6039493391.0
Gujarat,2023,2,valsad district,17817488,23874686294.0
Gujarat,2023,2,mahisagar district,1968493,3393183608.0
Gujarat,2023,2,sabar kantha district,8082316,13228245431.0
Gujarat,2023,2,tapi district,3071773,4542977182.0
Gujarat,2023,2,vadodara district,28126951,36036104419.0
Gujarat,2023,2,banas kantha district,23444277,42180609726.0
Gujarat,2023,2,amreli district,2635417,4820975988.0
Gujarat,2023,2,ahmadabad district,100889578,156288216607.0
Gujarat,2023,2,dohad district,4873367,8161119377.0
Gujarat,2023,2,navsari district,4720973,7128327894.0
Gujarat,2023,2,patan district,7357468,12694378137.0
Gujarat,2023,2,kachchh district,18170694,27688475605.0
Gujarat,2023,2,surendranagar district,4699987,9385361251.0
Gujarat,2023,2,morbi district,5404962,11249299353.0
Gujarat,2023,3,anand district,6408690,9760222735.0
Gujarat,2023,3,jamnagar district,6970886,8736838057.0
Gujarat,2023,3,devbhumi dwarka district,1684259,2947663134.0
Gujarat,2023,3,rajkot district,13691028,24000712020.0
Gujarat,2023,3,aravallis district,5283849,8235714548.0
Gujarat,2023,3,chhotaudepur district,1292249,2019847246.0
Gujarat,2023,3,botad district,3128600,5946985902.0
Gujarat,2023,3,bharuch district,23411273,27245590670.0
Gujarat,2023,3,bhavnagar district,7587294,14822238664.0
Gujarat,2023,3,junagadh district,2618213,5024678950.0
Gujarat,2023,3,mahesana district,15541817,26723975165.0
Gujarat,2023,3,the dangs district,706457,938441461.0
Gujarat,2023,3,kheda district,6743015,9926923098.0
Gujarat,2023,3,surat district,79742341,109145690441.0
Gujarat,2023,3,porbandar district,943933,2166150109.0
Gujarat,2023,3,gandhinagar district,26278985,35649946527.0
Gujarat,2023,3,panch mahals district,5649552,7741547853.0
Gujarat,2023,3,narmada district,1677672,2217044970.0
Gujarat,2023,3,gir somnath district,3233669,6139462563.0
Gujarat,2023,3,valsad district,20283176,25031461480.0
Gujarat,2023,3,mahisagar district,2101699,3280701332.0
Gujarat,2023,3,sabar kantha district,9131301,14174082993.0
Gujarat,2023,3,tapi district,3327168,4468064211.0
Gujarat,2023,3,vadodara district,32705182,39197795542.0
Gujarat,2023,3,banas kantha district,27740530,49573677952.0
Gujarat,2023,3,amreli district,2905887,5235380088.0
Gujarat,2023,3,ahmadabad district,116119081,173450994467.0
Gujarat,2023,3,dohad district,5730710,8613385702.0
Gujarat,2023,3,navsari district,5025791,7075895376.0
Gujarat,2023,3,patan district,8440368,14321658314.0
Gujarat,2023,3,kachchh district,21522506,30415694275.0
Gujarat,2023,3,surendranagar district,5252147,10351069125.0
Gujarat,2023,3,morbi district,6424262,13157501480.0
Gujarat,2023,4,anand district,6867174,10771235167.0
Gujarat,2023,4,jamnagar district,7924852,10107628547.0
Gujarat,2023,4,devbhumi dwarka district,1886630,3368627792.0
