State,Year,Quater,Pincodes,Registered_Users
Arunachal Pradesh,2019,3,791113,7593
Arunachal Pradesh,2019,3,791102,7308
Arunachal Pradesh,2019,3,792103,5172
Arunachal Pradesh,2019,3,790104,4964
Arunachal Pradesh,2019,3,791001,4733
Arunachal Pradesh,2019,3,792001,4605
Arunachal Pradesh,2019,3,791109,3715
Arunachal Pradesh,2019,3,790116,3709
Arunachal Pradesh,2019,4,791110,13737
Arunachal Pradesh,2019,4,791111,13109
Arunachal Pradesh,2019,4,791113,8753
Arunachal Pradesh,2019,4,791102,8369
Arunachal Pradesh,2019,4,792103,5974
Arunachal Pradesh,2019,4,790104,5523
Arunachal Pradesh,2019,4,791001,5499
Arunachal Pradesh,2019,4,792001,5268
Arunachal Pradesh,2019,4,791109,4216
Arunachal Pradesh,2019,4,790116,4071
Arunachal Pradesh,2020,1,791110,15867
Arunachal Pradesh,2020,1,791111,14888
Arunachal Pradesh,2020,1,791113,10049
Arunachal Pradesh,2020,1,791102,9584
Arunachal Pradesh,2020,1,792103,6949
Arunachal Pradesh,2020,1,791001,6631
Arunachal Pradesh,2020,1,790104,6108
Arunachal Pradesh,2020,1,792001,6044
Arunachal Pradesh,2020,1,791109,4808
Arunachal Pradesh,2020,1,792110,4690
Arunachal Pradesh,2020,2,791110,18699
Arunachal Pradesh,2020,2,791111,17137
Arunachal Pradesh,2020,2,791113,11777
Arunachal Pradesh,2020,2,791102,11547
Arunachal Pradesh,2020,2,792103,8648
Arunachal Pradesh,2020,2,791001,8304
Arunachal Pradesh,2020,2,792001,7106
Arunachal Pradesh,2020,2,790104,6860
Arunachal Pradesh,2020,2,792110,5825
Arunachal Pradesh,2020,2,791109,5521
Arunachal Pradesh,2020,3,791110,21772
Arunachal Pradesh,2020,3,791111,19597
Arunachal Pradesh,2020,3,791113,13723
Arunachal Pradesh,2020,3,791102,13422
Arunachal Pradesh,2020,3,792103,9996
Arunachal Pradesh,2020,3,791001,9880
Arunachal Pradesh,2020,3,792001,8196
Arunachal Pradesh,2020,3,790104,7622
Arunachal Pradesh,2020,3,792110,6844
Arunachal Pradesh,2020,3,791109,6404
Arunachal Pradesh,2020,4,791110,24414
Arunachal Pradesh,2020,4,791111,21845
Arunachal Pradesh,2020,4,791113,15540
Arunachal Pradesh,2020,4,791102,14955
Arunachal Pradesh,2020,4,791001,11382
Arunachal Pradesh,2020,4,792103,10964
Arunachal Pradesh,2020,4,792001,9130
Arunachal Pradesh,2020,4,790104,8391
Arunachal Pradesh,2020,4,792110,7743
Arunachal Pradesh,2020,4,791109,7262
Arunachal Pradesh,2021,1,791110,26578
Arunachal Pradesh,2021,1,791111,23660
Arunachal Pradesh,2021,1,791113,16942
Arunachal Pradesh,2021,1,791102,16191
Arunachal Pradesh,2021,1,791001,12442
Arunachal Pradesh,2021,1,792103,11916
Arunachal Pradesh,2021,1,792001,9875
Arunachal Pradesh,2021,1,790104,9066
Arunachal Pradesh,2021,1,792110,8458
Arunachal Pradesh,2021,1,791109,7917
Arunachal Pradesh,2021,2,791110,28553
Arunachal Pradesh,2021,2,791111,25349
Arunachal Pradesh,2021,2,791113,18141
Arunachal Pradesh,2021,2,791102,17388
Arunachal Pradesh,2021,2,791001,13401
Arunachal Pradesh,2021,2,792103,12890
Arunachal Pradesh,2021,2,792001,10617
Arunachal Pradesh,2021,2,790104,9711
Arunachal Pradesh,2021,2,792110,9156
Arunachal Pradesh,2021,2,791109,8470
Arunachal Pradesh,2021,3,791110,30734
Arunachal Pradesh,2021,3,791111,27265
Arunachal Pradesh,2021,3,791113,19520
Arunachal Pradesh,2021,3,791102,18855
Arunachal Pradesh,2021,3,791001,14519
Arunachal Pradesh,2021,3,792103,14068
Arunachal Pradesh,2021,3,792001,11487
Arunachal Pradesh,2021,3,790104,10467
Arunachal Pradesh,2021,3,792110,9990
Arunachal Pradesh,2021,3,791109,9111
Arunachal Pradesh,2021,4,791110,32931
Arunachal Pradesh,2021,4,791111,29128
Arunachal Pradesh,2021,4,791113,20914
Arunachal Pradesh,2021,4,791102,20261
Arunachal Pradesh,2021,4,791001,15589
Arunachal Pradesh,2021,4,792103,15154
Arunachal Pradesh,2021,4,792001,12358
Arunachal Pradesh,2021,4,790104,11211
Arunachal Pradesh,2021,4,792110,10752
Arunachal Pradesh,2021,4,791109,9729
Arunachal Pradesh,2022,1,791110,34915
Arunachal Pradesh,2022,1,791111,30912
Arunachal Pradesh,2022,1,791113,22258
Arunachal Pradesh,2022,1,791102,21601
Arunachal Pradesh,2022,1,791001,16600
